,external_var=dAge,external_var=dHispanic,external_var=iYearwrk,external_var=iSex
0,0.05555270682209661,0.013367543377439207,0.09732539228928513,0.016730644328049382
1,0.07307095225953006,0.00943387918966398,0.12353415969981224,0.01124175743810979
2,0.05550682352880168,0.014204816875080637,0.07674642311951352,0.011341569479152103
3,0.05952491323043552,0.005865777644211017,0.08376670666448398,0.009904975305110253
4,0.06469985507697669,0.0103076044174351,0.10294413305471135,0.01550803979414414
5,0.04859022738733792,0.007710041532913459,0.0834782066354752,0.00778622572698523
6,0.0682091756917322,0.017837913636315515,0.11041230220700884,0.010028014548657815
7,0.05409263513092126,0.016965568238353296,0.10012053703302998,0.013070775779236266
8,0.05793839754202737,0.007830108714211054,0.08118456223387965,0.010826493776280866
9,0.06131850559268838,0.014737537102691574,0.09605722288286803,0.006481376000085859
mean,0.05985041922625477,0.011826079072831484,0.0955569645820068,0.01129198721758117

Max mean mi:,0.0955569645820068
Max mean Generated by:,iYearwrk
anova p-value score:,1.8887305163163927e-23
t-test p-value score:,1.3359838020983315e-06
