,external_var=dAge,external_var=dHispanic,external_var=iYearwrk,external_var=iSex
0,0.0012814089384015222,0.0005213099729039364,0.0021457046510085886,0.0005049689836068086
1,0.002292169419971962,0.002046073810413596,0.0030835595909113438,0.000563733811218995
2,0.005355899071280326,0.004011229102464043,0.004042141411280778,0.0010096410377006815
3,0.0030003637282198185,0.0010412697602829087,0.0029268056806409978,0.000563733811218995
4,0.0037598195247688457,0.004473600800518559,0.002940025779742551,0.0005404852571130742
5,0.002500689022824202,0.01050719373026554,0.003287129061224104,3.919430896711859e-05
6,0.0014629046359474671,0.003389835811160701,0.0022678790115559662,0.0008148287637169682
7,0.0008367628015582959,0.0022024117193307786,0.0017055201648864013,0.00028030521430021105
8,0.0052074423834916105,0.0047074429095621505,0.0023969356305378543,1.2182901523983408e-05
9,0.0037752815798341756,0.0046131249000663736,0.005887770287735043,7.687725465291284e-06
mean,0.0029472741106298223,0.003751349251696858,0.003068347126952363,0.0004336761814832127

anova p-value score:,0.0007214091619554905
Null hypothesis of t-test accepted with pvalue,0.4441650295461761
