,subset_0,subset_0_labels,subset_1,subset_1_labels,subset_2,subset_2_labels,subset_3,subset_3_labels,subset_4,subset_4_labels,subset_5,subset_5_labels,subset_6,subset_6_labels,subset_7,subset_7_labels,subset_8,subset_8_labels,subset_9,subset_9_labels
0,123478,0,24163,0,112556,0,33076,0,104856,0,78146,0,121508,0,60704,0,190642,0,179940,0
1,193427,0,99510,0,148688,0,49532,0,53462,0,119417,0,159377,0,165815,0,185559,0,39844,0
2,93232,0,163190,0,63620,0,121177,0,111686,0,45649,0,174175,0,99586,0,107770,0,64271,0
3,85875,0,73407,0,57048,0,56579,0,49342,0,124871,0,149393,0,182373,0,190700,0,179873,0
4,47249,0,10491,0,113650,0,87200,0,6292,0,120289,0,123749,0,87706,0,117970,0,10951,0
5,193088,0,111175,0,192039,0,190505,0,166603,0,126802,0,196391,0,107881,0,20504,0,160793,0
6,114953,0,132867,0,69501,0,128423,0,94467,0,49313,0,194113,0,123609,0,134234,0,144272,0
7,159680,0,13610,0,75735,0,163903,0,172786,0,68778,0,66897,0,31821,0,135434,0,147414,0
8,133791,0,149638,0,127747,0,172669,0,18423,0,12708,0,121319,0,109500,0,85533,0,144980,0
9,50947,0,38438,-1,182537,0,107889,0,70276,0,131039,0,154299,0,51271,0,99703,0,19519,0
10,168771,0,43964,0,91812,0,146469,0,132858,0,171447,0,181861,0,5687,0,178331,0,163212,0
11,187169,0,150380,0,84323,0,72003,0,51189,0,36845,0,194387,0,48622,0,27084,0,68421,0
12,165428,0,161221,0,184976,0,114990,0,80356,0,44945,0,95928,0,3118,0,151522,0,197260,0
13,114266,0,124673,0,105220,0,86673,0,94200,0,71983,0,96159,0,178824,0,15564,0,40360,0
14,83669,0,184073,0,26017,0,117741,0,112241,0,25838,0,81226,0,14963,0,117080,0,41118,0
15,190857,0,57290,0,68800,0,50884,0,112116,0,139595,0,136389,0,83287,0,139044,0,68125,0
16,46312,0,196416,0,31337,0,18660,0,144557,0,195910,0,75921,0,61515,0,143368,0,138151,0
17,170543,0,4483,0,130181,0,66184,0,140745,0,28711,0,148281,0,158013,0,31191,0,109505,-1
18,166053,0,45255,0,93156,0,75465,0,84151,0,131873,0,130986,0,59112,0,137739,0,70922,0
19,133497,0,32887,0,73919,0,192877,0,193552,0,158899,0,18310,0,78399,0,132378,0,197258,0
20,67446,0,144878,0,195218,0,14963,0,67375,0,166362,0,163717,0,131764,0,39508,0,58414,0
21,42161,0,163280,0,187125,0,110607,0,74557,0,123482,0,169149,0,136418,0,71056,0,156485,0
22,127278,-1,79929,0,174405,0,182954,0,198812,0,126926,0,178746,0,130838,0,11436,0,45657,0
23,66616,0,52837,0,160718,0,7794,0,1089,0,156571,0,2616,0,139699,0,32310,0,24190,0
24,96701,0,141760,0,197944,0,166024,0,4921,0,33563,0,112277,0,4643,0,115818,0,137165,0
25,57842,0,152059,0,67890,0,93010,0,108657,0,83682,0,52158,0,28247,0,110070,0,172776,0
26,177326,0,122325,0,110319,0,28806,0,94600,0,173844,0,197462,0,31353,0,123903,0,152333,0
27,144811,0,3907,0,118393,0,31338,0,123080,0,6607,0,130275,0,125212,0,158144,0,66052,0
28,23153,0,192966,0,199885,0,61482,0,137937,0,156586,0,119045,0,129674,0,63136,0,4674,0
29,13424,0,28239,0,169803,0,147004,0,138499,0,62360,0,113253,0,108115,0,7383,0,124705,0
30,172215,0,43698,0,141659,0,116411,0,60568,0,192130,0,29772,0,131726,0,175469,0,157493,0
31,172387,0,94700,0,195012,0,37742,0,62980,0,198066,0,128727,0,80466,0,196353,0,195125,0
32,168923,0,178077,0,139970,0,42076,0,139285,0,35182,0,194022,0,148229,0,92294,0,66902,0
33,57353,0,95745,0,181647,0,162389,0,164767,0,172332,0,183367,0,87416,0,114700,0,88107,0
34,184732,0,44895,0,50457,0,57880,0,11031,0,167044,0,185597,0,45992,0,161258,0,177808,0
35,139596,0,96839,0,115442,0,115620,0,106795,0,55832,0,185170,0,86455,0,94353,0,174898,0
36,18931,0,114504,0,57018,0,45733,0,154587,0,110013,0,48916,0,105119,0,22902,0,134548,0
37,101126,0,178652,0,78045,0,166249,0,158144,0,30453,0,13046,0,193319,0,63243,0,159748,0
38,138641,0,139937,0,53037,0,36753,0,35678,0,62793,0,149310,0,114201,0,147768,0,178639,0
39,10585,0,155132,0,16891,0,175291,0,157455,0,21081,0,117492,0,135717,0,97245,0,13635,0
40,79715,0,80906,0,95883,0,126107,0,57506,0,88567,0,80041,0,195862,0,2606,0,109542,0
41,134197,0,208,0,171675,0,90588,0,40792,0,109683,0,198480,0,109088,0,119562,0,32606,0
42,92667,0,36234,0,46332,0,105134,0,39390,0,146780,0,116076,0,40186,0,81621,0,1691,0
43,23228,0,1432,0,110475,0,59747,0,35776,0,188228,0,139165,0,56286,0,191823,0,153193,0
44,23322,0,63140,0,40673,0,180631,0,36044,0,151134,0,141441,0,199465,0,42921,0,28253,0
45,122910,0,139386,0,122161,0,148866,0,75936,0,184853,-1,198243,0,62641,0,56941,0,196607,0
46,199937,0,109151,0,62925,0,30327,0,64658,0,126370,0,72128,0,112252,0,60729,0,128660,0
47,35054,0,130280,0,13713,0,36458,0,103255,0,97294,0,122488,0,168000,0,54542,0,76312,0
48,164744,0,184815,0,35919,0,169371,0,119048,0,96608,0,183241,0,97890,0,45905,0,43250,0
49,37005,0,82383,0,53230,0,67186,0,93903,0,196308,0,12153,0,33320,0,158757,0,31203,0
50,177569,0,94787,0,154798,0,25190,0,124097,-1,130169,0,146209,0,119738,0,74525,0,150006,0
51,162388,0,105555,0,25699,0,36132,0,58556,0,82528,0,98670,0,19059,0,9810,0,37880,0
52,179868,0,15875,0,176900,0,86526,0,196940,0,122186,0,131869,0,17052,0,94614,0,25344,0
53,62198,0,54056,0,111919,0,72433,0,46407,0,74045,0,160162,0,172567,0,3476,0,189128,0
54,81080,0,186810,0,103936,0,31788,0,55239,0,130935,0,25028,0,115254,0,72511,0,141536,0
55,69123,0,179368,0,70486,0,143878,0,102319,0,125689,0,97553,0,180231,0,104919,0,99747,0
56,198410,0,22849,0,163568,0,565,0,162294,0,27307,0,13241,0,136962,0,192593,0,83757,0
57,98117,0,132577,0,36703,0,157758,0,162971,0,133584,0,180666,0,155595,0,186787,0,75981,0
58,66779,0,73371,0,164034,0,60309,0,9476,0,76904,0,125049,0,149489,0,176656,0,66185,0
59,59023,0,149633,0,136519,0,97651,0,154723,0,12694,0,81287,0,175,0,33337,0,51798,0
60,38697,0,160825,0,49109,0,13440,0,39608,0,2119,0,31493,0,57966,0,8313,0,118078,0
61,65199,0,141642,0,96855,0,139446,0,5946,0,184557,0,58459,0,15980,0,66220,0,182678,0
62,78568,0,116482,0,122746,0,36011,0,118986,0,27019,0,170319,0,149181,0,80829,0,174429,0
63,99277,0,48620,0,74657,0,140361,0,17634,0,56157,0,171338,0,12035,0,820,0,161466,0
64,26584,0,159767,0,40925,0,77696,0,169661,0,196032,0,109292,0,98365,0,5549,0,104317,0
65,130764,0,155377,0,109639,0,60354,0,31881,0,123069,0,18092,0,84206,0,96366,0,75809,0
66,149036,0,157118,0,118858,0,136562,0,83353,0,118889,0,32049,0,47853,0,154067,0,57742,0
67,41159,0,97511,0,67426,0,147296,0,8480,0,180590,0,179011,0,193504,0,176869,0,141955,0
68,124006,0,61169,0,174338,0,138090,0,2349,0,15593,0,60958,0,86941,0,3539,0,166814,0
69,90456,0,62105,0,26417,0,39530,0,88352,0,115749,0,107303,0,110564,0,129776,0,112678,0
70,29936,0,68933,0,7368,0,117783,0,4328,0,53772,0,54392,0,3586,0,153719,0,194700,0
71,42444,0,11044,0,105987,0,110333,0,159634,0,23982,0,41995,0,182340,0,98201,0,45574,0
72,20232,0,66829,0,54725,0,108556,0,398,0,196467,0,157922,0,90642,0,148202,0,70129,0
73,174544,0,159074,0,160143,0,21920,0,199522,0,76095,0,51429,0,131786,0,137790,0,139208,0
74,196184,0,145615,0,141001,0,165825,-1,135307,0,92181,0,17411,0,105634,0,43110,0,16210,0
75,130816,0,87475,0,158336,0,10613,0,189090,0,83893,0,173872,0,159456,0,67908,0,84258,0
76,109151,0,125495,0,40737,0,66021,0,47107,0,112730,0,45117,0,130389,0,49791,0,96842,0
77,157978,0,89689,0,63816,0,106248,0,47866,0,93582,0,98029,0,69328,0,198764,0,42801,0
78,86684,0,182816,0,185207,0,197117,0,140389,0,80207,0,184954,0,125684,0,157014,0,20612,0
79,68459,0,151036,0,66642,0,180662,0,67886,-1,127131,0,59703,0,13193,0,68105,0,69577,0
80,71264,0,152547,0,167517,0,5859,0,66821,0,11783,0,46127,0,96533,0,27963,0,40128,0
81,70497,0,105125,0,161751,0,30655,0,166377,0,25829,0,168706,0,31241,0,112112,0,134947,0
82,92880,0,24594,0,186602,0,83550,0,132586,0,169543,0,152448,0,78045,0,77779,0,92077,0
83,41767,0,163396,0,23333,0,188421,0,181,0,179290,0,145763,0,17419,0,124378,0,87259,0
84,95353,0,195353,0,54458,0,34465,0,11646,0,144801,0,59373,0,68908,0,8294,0,19852,0
85,179733,0,178339,0,137191,0,11525,0,26943,0,31724,0,170779,0,16390,0,182334,0,22870,0
86,89214,0,76433,0,22409,0,88913,0,121417,0,189350,0,97490,0,199755,0,162892,0,88415,0
87,176581,0,181163,0,32135,0,165153,0,54176,0,58893,0,39168,0,10814,0,108887,0,119823,0
88,62471,0,189243,0,156776,0,5234,0,43697,0,34788,0,48483,0,19049,0,1199,0,185370,0
89,19438,0,192515,0,77796,0,13870,0,27232,0,154991,0,27141,0,68981,0,121170,0,168868,0
90,22721,0,126067,0,10739,0,78183,0,9924,0,80302,0,117077,0,165778,0,135742,0,35732,0
91,69910,0,21882,0,55727,0,57713,0,31539,0,140891,0,199285,0,41873,0,88577,0,173536,0
92,56712,0,158774,0,125990,0,124786,0,160487,0,83563,0,67678,0,190810,0,55313,0,106701,0
93,140630,0,71155,0,85318,0,160500,0,23477,0,166933,0,101860,0,191217,0,149795,0,95882,0
94,145785,0,186803,0,170199,0,180452,0,187991,0,129917,0,61291,0,196261,0,95192,0,173588,0
95,145570,0,152442,0,36956,0,118644,0,86030,0,78670,0,114698,0,116745,0,9117,0,122912,0
96,60913,0,23008,0,49730,0,147816,0,138840,0,177950,0,11036,0,146502,0,86979,0,144278,0
97,109360,0,129870,0,134297,0,199545,0,101874,0,68578,0,194920,0,161330,0,2834,0,173741,0
98,168513,0,159870,0,114425,0,15956,0,28988,0,113020,0,105501,0,169502,0,151642,0,169419,0
99,161010,0,97554,0,184137,0,66104,0,158563,0,157096,0,162546,0,33962,0,186930,0,130498,0
100,89228,0,141912,0,106227,0,17589,0,56,0,72926,0,13941,0,102239,0,34508,-1,187834,0
101,180484,0,70483,0,113621,0,130350,0,100102,-1,165258,0,109104,0,88896,0,132171,0,43018,0
102,147771,0,48982,0,96267,0,26397,0,152126,0,38122,0,69301,0,100938,0,65704,0,113952,0
103,48881,0,91094,0,20563,0,48728,0,64632,0,87277,0,47346,0,75213,0,58952,0,161775,0
104,148217,0,117157,0,69193,0,6768,0,184721,0,12536,0,110760,0,41516,0,191223,0,90568,0
105,128136,0,187080,0,22735,0,63159,0,8947,0,40719,0,42752,0,83992,0,59218,0,183759,0
106,14410,0,195469,0,75899,0,170796,0,122931,0,2004,0,72223,0,101686,0,41932,0,143748,0
107,184771,0,145186,0,128697,0,181996,0,62904,0,4334,0,10233,0,173027,0,159262,0,106750,0
108,131223,0,101038,0,41544,0,145951,0,105064,0,172343,0,99121,0,173099,0,17158,0,110750,0
109,120853,0,191588,0,163841,0,142239,0,9447,0,183309,0,45183,0,184058,0,159453,0,77247,0
110,97732,0,115403,0,51149,0,163756,0,102699,0,141327,0,99947,0,176751,0,161672,0,145717,0
111,69766,0,196097,0,48470,0,59496,0,100710,0,11950,0,99155,0,101833,0,197013,0,69911,0
112,63346,0,118066,0,187615,0,100997,0,151899,0,103135,0,127218,0,192121,0,67340,0,84871,0
113,63366,0,154641,0,168323,0,186227,0,162917,0,2950,0,184272,0,100838,0,174097,0,170279,0
114,119544,0,164709,0,127260,0,113016,0,108573,0,50524,0,48706,0,76474,0,76544,0,15164,0
115,162456,0,105120,0,95082,0,146244,0,86818,0,127600,0,150300,0,111447,0,66106,0,28195,0
116,69679,0,78254,0,181635,0,172795,0,81389,0,99487,0,180904,0,49526,0,11632,0,175686,0
117,27656,0,16896,0,152865,0,20270,0,13091,0,63201,0,23759,0,166064,0,179087,0,83707,0
118,141679,0,95321,0,43706,0,59177,0,53416,0,143607,0,41232,0,144052,0,86210,0,175670,0
119,147372,0,81046,0,6066,0,38450,0,4607,0,65894,0,49773,0,59461,0,100014,0,141223,0
120,106676,0,188827,0,182755,0,75214,0,101784,0,142720,0,161870,0,141760,0,8508,0,111173,0
121,65796,0,82397,0,46317,0,30031,0,97009,0,184819,0,68789,0,163632,0,84388,0,80383,0
122,49263,0,11856,0,196086,0,126642,0,6548,0,150426,0,49323,0,138345,0,63176,0,122266,0
123,7755,0,71799,0,171479,0,183821,0,36791,0,136935,0,188885,0,174534,0,131721,0,52130,0
124,182528,0,36601,0,81935,0,188961,0,40756,0,132858,0,67852,0,126207,0,185356,0,199816,0
125,57770,0,187609,0,51629,0,142784,0,114035,0,180284,0,69493,0,43334,0,110386,0,180113,0
126,132518,0,34150,0,185686,0,183741,0,88074,0,44059,0,23401,0,110689,0,121487,0,66563,0
127,9843,0,133374,0,51817,0,136371,0,19355,0,45433,0,21415,0,13993,0,32477,0,44314,0
128,141994,0,60123,0,62709,0,172314,0,5852,0,42814,0,184781,0,81441,0,48543,0,106375,0
129,24936,0,118169,0,28198,0,297,0,85070,0,144044,0,99455,0,126099,0,166538,0,160585,0
130,91476,0,20144,0,96526,0,52584,0,81788,0,43535,0,60754,0,159088,0,164314,0,30105,0
131,70351,0,113178,0,146252,0,173680,0,188770,0,164226,0,185720,0,173789,0,166494,0,105037,0
132,53635,0,91991,0,103380,0,100135,0,174565,0,5273,0,74974,0,119763,0,148433,0,184589,0
133,171682,0,102932,0,47178,0,27277,0,146676,0,46765,0,13587,0,55484,0,69337,0,77335,0
