,"['dAge', 'dHispanic', 'iYearwrk', 'iSex']=dAge","['dAge', 'dHispanic', 'iYearwrk', 'iSex']=dHispanic","['dAge', 'dHispanic', 'iYearwrk', 'iSex']=iYearwrk","['dAge', 'dHispanic', 'iYearwrk', 'iSex']=iSex"
0,0.523953853125279,0.00855428871184207,0.6224672839082708,0.06224116958336219
1,0.5195873871561126,0.0074045362058898214,0.6264198205041643,0.0452373204407185
2,0.521574608187742,0.007102484400548243,0.6284535534986796,0.048060122932022525
3,0.5251567783416692,0.007910784659075505,0.6260274391336815,0.052008374311824146
4,0.5132849014491319,0.006930531047869909,0.6163842456308806,0.042698710164170414
5,0.518576386479508,0.00979873039185018,0.6295169379612823,0.04324117668852798
6,0.5167864561756025,0.008680607048238535,0.6245396330012957,0.04561506444540399
7,0.5120058277643127,0.006797610027828058,0.6172024159939671,0.042392250809013134
8,0.5184446622473644,0.009654689331695766,0.6182719354000891,0.047721968462494324
9,0.5206856085650962,0.008524972757202985,0.6237454914069738,0.04534268660674068
mean,0.5190056469491818,0.008135923458204106,0.6233028756439285,0.04745588444442779

Max mean mi:,0.6233028756439285
Max mean Generated by:,iYearwrk
anova p-value score:,1.220532252714384e-65
t-test p-value score:,2.3834614549415484e-14
