,"[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.05, 2, 'hamming')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.05, 2, 'jaccard')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.05, 20, 'hamming')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.05, 20, 'jaccard')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.1, 2, 'hamming')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.1, 2, 'jaccard')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.1, 20, 'hamming')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.1, 20, 'jaccard')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.2, 2, 'hamming')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.2, 2, 'jaccard')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.2, 20, 'hamming')","[(0.05, 2, 'hamming'), (0.05, 2, 'jaccard'), (0.05, 20, 'hamming'), (0.05, 20, 'jaccard'), (0.1, 2, 'hamming'), (0.1, 2, 'jaccard'), (0.1, 20, 'hamming'), (0.1, 20, 'jaccard'), (0.2, 2, 'hamming'), (0.2, 2, 'jaccard'), (0.2, 20, 'hamming'), (0.2, 20, 'jaccard')]=(0.2, 20, 'jaccard')"
0,-0.7180208249061607,-0.3369141304419077,-0.42173005523854895,-0.1837006156837494,-0.7198980826661733,-0.45557614432094157,-0.11261862227934678,-0.1316316762502826,-0.3610920215911879,-0.10068851653295069,-0.21542469455960395,-0.16807980970458358
1,-0.7087914015887176,-0.35899311317670535,-0.4067183109639743,-0.18310946708199377,-0.7198289960815655,-0.38142660503694287,-0.2629954891625736,-0.18069376175304125,-0.45543220197208734,-100000.0,-0.2171130617883986,-0.3517741228296979
2,-0.7112791276249707,-0.3372232854459417,-0.4030200787711837,-0.16369845449318868,-0.7169744408739398,-0.3524171699083746,-0.26677062553169884,-0.15065605649866323,-0.4690572830196394,-0.39684100659473953,-0.19613350985793349,-0.36773113696755444
3,-0.7157073871313996,-0.37126213999243934,-0.4125027733854332,-0.18031141589487248,-0.7305106630754434,-0.42457498244085834,-0.24510933394285342,-0.17000676821696176,-0.4735248854832126,0.44483208614832304,-0.19793676944280553,0.0795170076316866
4,-0.713959728147069,-0.3676281372377421,-0.291103010452153,-0.2179569714416522,-0.7254109566254409,-0.4178040587897387,-0.21622568568845288,-0.11799369004131233,-0.4506616405003788,-0.09800644265609135,-0.19126671322294606,-0.20017269285280484
5,-0.7127889935286904,-0.3667689723332238,-0.4113134576057628,-0.18128124150242134,-0.710141389056813,-0.42921839221030034,-0.18636463780628162,-0.1887210377459758,-0.4363693671601048,0.4418651061897335,-0.20655582349118062,0.08409288202411684
6,-0.7129266564808532,-0.3658831675160979,-0.4231662495306756,-0.15541228876507063,-0.7051159494289988,-0.4459026714077016,-0.15154805066426605,-0.15678193122134085,-0.4227557649252659,-0.11444078742558084,-0.21678253660184363,-0.17380371935677968
7,-0.7053419169911822,-0.3463023674809929,-0.4361796170315177,-0.19404174491446363,-0.6928190272893985,-0.43030863917009227,-0.1384018019563798,-0.1839614339728904,-0.5257358327390719,-0.41037748886470954,-0.2048567760345652,-0.3346060755563195
8,-0.7154377160763867,-0.3823138158736166,-0.306503173640233,-0.15762752525910456,-0.6921037504266276,-0.4396724795203497,-0.28915101065347093,-0.14171856197276386,-0.4510676828774788,-0.08208993859226331,-0.21082397438165865,-0.34970118798211974
9,-0.7182351093428107,-0.34978768166436325,-0.2884210185067218,-0.16513879901260795,-0.7165721137180409,-0.40865652001245795,-0.22760804164188583,-0.13044417389404653,-0.4225791252019891,-0.10478324114302853,-0.2272515764475257,-0.2536605278573454
mean,-0.713248886181824,-0.35830768111630307,-0.38006577451262047,-0.17822785240491246,-0.7129375369242441,-0.4185557662817757,-0.209679329932721,-0.15526090915672786,-0.4468275805470417,-10000.042053022946,-0.20841454358284617,-0.20359193834514017

Null hypothesis of anova accepted with pvalue,0.45140467277431107
