,"['dAge', 'dHispanic', 'iYearwrk', 'iSex']=dAge","['dAge', 'dHispanic', 'iYearwrk', 'iSex']=dHispanic","['dAge', 'dHispanic', 'iYearwrk', 'iSex']=iYearwrk","['dAge', 'dHispanic', 'iYearwrk', 'iSex']=iSex"
0,0.4782026256277882,0.0007269651316025852,0.5439959906755452,0.0003433661419831313
1,0.4817122311849611,0.0007959403328596825,0.5450553065439809,0.00042166668842244515
2,0.476701788947842,0.00042938649999779786,0.5430290985401889,0.0005660352762719145
3,0.4776146994095211,0.0006424560615789741,0.5435548997029375,0.0006015442307936714
4,0.4770399285259113,0.000887706548229986,0.5446706170948918,0.0005606768765172299
5,0.47956201121431696,0.00041973504197241347,0.5439598497161182,0.00031540271110341855
6,0.4785018199507129,0.0004955220044172796,0.5441406597798449,0.000708213501360383
7,0.47374201641354746,0.00036062869721196003,0.5390271642534693,0.0007059666456810387
8,8.362462221135885e-05,1.2808954651772025e-06,0.00011440265242369265,2.8987380451865228e-05
9,0.4791032078741517,0.001059655844082232,0.543531126887728,0.0004120533944799998
mean,0.43022639537709645,0.0005819277057418088,0.4891079115847128,0.0004663912847065098

Max mean mi:,0.4891079115847128
Max mean Generated by:,iYearwrk
anova p-value score:,2.0322197844953972e-13
t-test p-value score:,8.61539097635775e-06
