,"[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(2, 'hamming', 'average')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(2, 'hamming', 'single')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(2, 'jaccard', 'average')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(2, 'jaccard', 'single')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(8, 'hamming', 'average')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(8, 'hamming', 'single')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(8, 'jaccard', 'average')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(8, 'jaccard', 'single')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(10, 'hamming', 'average')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(10, 'hamming', 'single')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(10, 'jaccard', 'average')","[(2, 'hamming', 'average'), (2, 'hamming', 'single'), (2, 'jaccard', 'average'), (2, 'jaccard', 'single'), (8, 'hamming', 'average'), (8, 'hamming', 'single'), (8, 'jaccard', 'average'), (8, 'jaccard', 'single'), (10, 'hamming', 'average'), (10, 'hamming', 'single'), (10, 'jaccard', 'average'), (10, 'jaccard', 'single')]=(10, 'jaccard', 'single')"
0,0.1928222050304322,-0.13719901690032865,0.730823994011825,-0.09676677793290822,-0.20235734437670788,-0.4631240197034206,-0.07214939769082845,-0.5113213090580666,-0.2043450892489227,-0.4691596476246687,-0.07251202197134672,-0.5188878532016227
1,0.1922394884349285,-0.10959627254617725,0.7373255801905788,0.41142797884454585,-0.169036406491661,-0.4196031134704695,0.006866495812162017,-0.610958646694807,-0.2738310478556293,-0.4384565536985288,-0.04676770777181969,-0.62937630550953
2,-0.11826156189787304,-0.11826156189787304,0.7328622925681052,-0.39684100659473953,-0.24466928824457704,-0.44442954239698357,0.04890931690175033,-0.44607162752818375,-0.30591040719548707,-0.5357661963895141,-0.012473759935324374,-0.46401617868036404
3,0.18540575567665113,-0.3508341983760483,0.7269722998806445,-0.37434699802933674,-0.2937766026397916,-0.5205333243562333,0.09557392333348583,-0.5538565315591077,-0.2936575812876239,-0.5213159391731828,0.04539757383121881,-0.2222164889423669
4,0.19173255208536932,-0.3135448297408021,0.7289713000056083,-0.09561808283586624,-0.22990054210937821,-0.5281697457964768,0.04566832665794028,-0.3960461252117802,-0.2339904675495983,-0.568895511110099,0.04084212899824418,-0.4737673090686225
5,-0.2789625262551685,-0.101905348530759,0.7296581704892624,-0.43144691798824786,-0.17531853867087738,-0.47909581050121514,-0.052931712379460566,-0.5271664694792008,-0.19560347332559316,-0.4807266958623952,-0.24106904801972082,-0.5316947108445634
6,-0.19560687641310304,-0.3164532070350563,0.73608125240427,-0.1247461124520495,-0.21115609012859665,-0.45152619670642,0.10114429293751646,-0.18586736555449895,-0.21253320981667104,-0.4734781159784509,0.00136866902347957,-0.1885014691083839
7,0.18915344903996506,-0.1412502439002287,0.7329666057999416,-0.41202949979156495,-0.45919434897980677,-0.4504021342476599,-0.06081801086331087,-0.46058815985920837,-0.49872835189649267,-0.661335456659728,-0.059891404316248516,-0.6887267069939307
8,-0.14036255165535577,-0.1258722560304789,-0.1258722560304789,-0.08208993859226331,-0.1341798293296618,-0.4704113763570927,0.08251398401930478,-0.44230947904688217,-0.25152685076207487,-0.4716618273797904,0.06447267058372552,-0.4803705349951118
9,0.1912159326646757,-0.08888046529539878,0.7324981863881221,-0.10478324114302853,-0.23795753512534315,-0.45209639798735574,-0.03551161955803072,-0.5956876884177731,-0.24374874035935143,-0.4527826976097364,-0.0377653685870847,-0.6254960514019756
mean,0.04093758667105216,-0.1803797400253151,0.646228742570788,-0.17072405965154588,-0.23575465260964018,-0.4679391661523328,0.015926559917052906,-0.4729873402409509,-0.2713875219297444,-0.5073578641486094,-0.03183982681648767,-0.48230536087464715

Max mean silhouette:,0.646228742570788
Max mean Generated by:,"(2, 'jaccard', 'average')"
anova p-value score:,1.166744448141836e-36
t-test p-value score:,7.501060941157798e-05
