,external_var=dAge,external_var=dHispanic,external_var=iYearwrk,external_var=iSex
0,0.639809066201047,0.061889250363113844,0.8576122575452855,0.06830132343172898
1,0.6546370956441395,0.04042191731651298,0.8868601330369508,0.06124396092775841
2,0.6435071574089536,0.04866655326704716,0.9674453828790142,0.06928865187862142
3,0.6403434521188202,0.03309498300989954,0.9847645407864019,0.05471309651554004
4,0.630332086459346,0.05648243339271036,0.9423344720158459,0.01218764369371671
5,0.6780318860860263,0.05381814624517414,0.9288015845324692,0.055876391607534215
6,0.6182344271615026,0.046430923713134196,0.8779609806415394,0.06626416161821969
7,0.6045573213736363,0.06531796562964298,0.9388729049324808,0.05440674588652961
8,0.6319768587319048,0.041515421841254584,0.8601820298741565,0.06532574868023161
9,0.6391981820410523,0.08022903968880805,0.909646663328096,0.03228721201535635
mean,0.6380627533226428,0.05278666344672979,0.9154480949572239,0.0539894936255237

Max mean mi:,0.9154480949572239
Max mean Generated by:,iYearwrk
anova p-value score:,3.882595956846327e-42
t-test p-value score:,1.7819266694401443e-08
