,"['n_clusters']=(2,)","['n_clusters']=(8,)","['n_clusters']=(10,)"
0,0.22209177644048128,0.2653006439872474,0.2561324070605454
1,0.22301930451062424,0.27090432083885346,0.28905369593157376
2,0.23115096086696268,0.2685025519440128,0.28323236237358096
3,0.23555166482370338,0.26694342901752577,0.29315167274553355
4,0.2364316158508479,0.3102711759868098,0.31571708114531644
5,0.23302150705028915,0.2688517224790829,0.27891744425466336
6,0.22821234151666903,0.2710035614470655,0.28030121384180134
7,0.2091132035441354,0.2961800753726243,0.2934653722763036
8,0.23915554929058316,0.28290019835660085,0.285521973913409
9,0.22080153612145015,0.25891223817293474,0.27741759705430696
mean,0.22785494600157463,0.2759769917602758,0.2852910820597035

Max mean silhouette:,0.2852910820597035
Max mean Generated by:,"(10,)"
anova p-value score:,7.54857405850204e-10
t-test p-value score:,0.022060154960630067
