,external_var=dAge,external_var=dHispanic,external_var=iYearwrk,external_var=iSex
0,0.7102178682256032,0.061418918067455655,0.9260285476860127,0.10921122467166537
1,0.693946424916873,0.03354840365066512,0.940774957283226,0.09491798034060259
2,0.6255271481479904,0.05252699487053993,0.926602198357425,0.027385542486102858
3,0.6954102870780001,0.030017690156104164,0.9544621775736474,0.054111868203149165
4,0.6404222542617364,0.05964292295242235,0.9338217285306852,0.03840455225566074
5,0.7389716005064405,0.035269307035910025,0.9913558337900887,0.08540757667083018
6,0.6588303000967427,0.03804884239723656,0.8922571777417565,0.08626804684428689
7,0.6685480017163044,0.03542748885247876,0.9829492956414634,0.042101053410949114
8,0.6830918849699907,0.037769370839178446,0.932155854181006,0.05624847409036078
9,0.6797070283010817,0.08468044565122586,1.0029520016080327,0.04893468625041281
mean,0.6794672798220763,0.04683503844732168,0.9483359772393344,0.06429910052240204

Max mean mi:,0.9483359772393344
Max mean Generated by:,iYearwrk
anova p-value score:,1.362900785767608e-41
t-test p-value score:,2.353931515508078e-09
