,"['n_clusters']=(2,)","['n_clusters']=(8,)","['n_clusters']=(10,)"
0,0.22932323008191252,0.28331539079646745,0.2864863256651147
1,0.2325290331207195,0.2977444179176457,0.301398263102707
2,0.22881911518917877,0.2751239673790094,0.282551536785827
3,0.23549032403840933,0.2926032415950558,0.28520800975652655
4,0.24797640008563523,0.28023542457754186,0.28997585955611
5,0.23684480406963185,0.297250654696104,0.30886328346247083
6,0.22983573711183436,0.2875727878176092,0.28614964480908783
7,0.22573584017083323,0.2818508473909048,0.30054043641219946
8,0.2391613439660254,0.2887777108677961,0.30381570826434906
9,0.23039525811369077,0.2857957720572681,0.30852720442348563
mean,0.2336111085947871,0.28702702150954024,0.2953516272237878

Max mean silhouette:,0.2953516272237878
Max mean Generated by:,"(10,)"
anova p-value score:,6.247434710809444e-16
t-test p-value score:,0.018877623164693935
