,"['dim_reduction_after', 'n_clusters']=(False, 3)","['dim_reduction_after', 'n_clusters']=(True, 3)"
0,0.2574104346812556,0.24851058413223576
1,0.2455478248814403,0.2531575795902024
2,0.2759582456287964,0.2833923445626946
3,0.23750631516588752,0.2626262731084468
4,0.25312720876133515,0.25708905168326507
5,0.2578915672016342,0.26912588395303766
6,0.2630000520352822,0.25159518859780267
7,0.2523827860308241,0.2492427932160123
8,0.22123318724454838,0.2428607083971254
9,0.26616460362800864,0.25486119822604564
mean,0.25302222252590123,0.2572461605466868

Null hypothesis of t-test accepted with pvalue,0.3312154196596352
