,LLE,EigenMaps
0,0.8618972794401172,0.7551229583602345
1,0.9334765045587946,0.7870764023319349
2,0.7901783940293688,0.7601392480279661
3,0.8389559460260636,0.7798404178013534
4,0.8376824808394272,0.8677616966861854
5,0.7132661690479064,0.8454284114091082
6,0.8292306262193225,0.7676896400811191
7,0.8684020872938427,0.8057958088306447
8,0.8360711445207654,0.811795293466367
9,0.907130556022956,0.8314899779015652
mean,0.8416291187998564,0.8012139854896478

Null hypothesis of t-test accepted with pvalue,0.13109040623973495
