,"['dim_reduction_after', 'n_clusters', 'n_neighbors']=(False, 3, 50)","['dim_reduction_after', 'n_clusters', 'n_neighbors']=(True, 3, 50)"
0,0.25511420100117493,0.24851058413223576
1,0.2576284047530049,0.2531575795902024
2,0.2619026712866609,0.2833923445626946
3,0.251451175559434,0.2626262731084468
4,0.2694475594644629,0.25708905168326507
5,0.2613148535326763,0.26912588395303766
6,0.2521480416095722,0.25159518859780267
7,0.23517823171567473,0.2492427932160123
8,0.23450053445217328,0.2428607083971254
9,0.24409180570586114,0.25486119822604564
mean,0.25227774790806956,0.2572461605466868

Null hypothesis of t-test accepted with pvalue,0.17049993478879835
